688370 丛麟科技 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2022/08/25	49.00	50.58	45.44	45.48	12328659	576745792.00
2022/08/26	44.12	44.76	42.57	42.64	7077509	308345952.00
2022/08/29	42.81	43.57	42.51	42.80	2790924	119885992.00
2022/08/30	43.05	43.15	42.33	42.48	1977327	84279392.00
2022/08/31	42.50	42.62	41.25	41.32	2348557	97903560.00
2022/09/01	41.16	41.88	41.13	41.37	1189132	49340468.00
2022/09/02	41.20	42.06	41.16	41.64	1142494	47583536.00
2022/09/05	41.60	41.79	41.16	41.22	1094474	45255304.00
2022/09/06	41.40	41.49	40.91	41.29	1296143	53434436.00
2022/09/07	41.16	42.29	41.10	41.62	1361557	56862556.00
2022/09/08	41.50	41.67	41.08	41.08	873854	36086400.00
2022/09/09	41.07	41.24	40.95	41.19	693638	28516054.00
2022/09/13	41.28	41.44	41.05	41.08	659929	27172304.00
2022/09/14	40.91	40.91	40.43	40.70	1033811	41992756.00
2022/09/15	40.78	41.10	39.95	40.26	968100	39211296.00
2022/09/16	40.23	40.36	39.55	39.63	796777	31754580.00
2022/09/19	39.61	39.94	38.50	38.50	776459	30361780.00
2022/09/20	38.53	39.27	38.53	38.75	608312	23631694.00
2022/09/21	38.61	38.93	38.00	38.68	506556	19538198.00
2022/09/22	38.58	38.94	38.39	38.72	329688	12770805.00
2022/09/23	38.53	38.88	38.00	38.04	497007	19045324.00
2022/09/26	37.99	38.00	37.00	37.00	648108	24182028.00
2022/09/27	37.01	37.66	37.01	37.49	371488	13873868.00
2022/09/28	37.30	37.54	36.33	36.39	507786	18715410.00
2022/09/29	36.75	36.75	36.01	36.03	455155	16542669.00
2022/09/30	36.29	36.29	35.50	35.64	414726	14839313.00
2022/10/10	35.90	35.90	35.17	35.23	292766	10416344.00
2022/10/11	35.23	35.79	35.23	35.60	289209	10248393.00
2022/10/12	35.60	36.49	35.30	36.42	343612	12365604.00
2022/10/13	36.37	37.14	36.12	36.48	436566	16046900.00
2022/10/14	36.88	37.22	36.69	37.17	544620	20182600.00
2022/10/17	37.17	37.75	36.97	37.41	665082	24851012.00
2022/10/18	37.45	37.55	37.17	37.42	328960	12293510.00
2022/10/19	37.73	37.73	36.55	36.60	485259	17942816.00
2022/10/20	36.48	37.74	36.40	37.42	757917	28138688.00
2022/10/21	37.42	37.65	36.80	36.96	367779	13636692.00
2022/10/24	37.01	37.19	35.92	35.98	583477	21308182.00
2022/10/25	36.12	36.23	35.66	35.75	595313	21360974.00
2022/10/26	35.81	37.24	35.81	36.93	724625	26623968.00
2022/10/27	37.23	37.25	36.61	36.83	354989	13095384.00
2022/10/28	37.00	37.07	35.76	35.81	534730	19414120.00
2022/10/31	35.61	36.70	35.61	36.27	371507	13497575.00
2022/11/01	36.26	37.18	36.26	37.17	505451	18634750.00
2022/11/02	37.00	37.52	37.00	37.46	541957	20235458.00
2022/11/03	37.01	37.84	37.00	37.79	525662	19758384.00
2022/11/04	37.90	38.75	37.70	38.51	932192	35882264.00
2022/11/07	38.38	38.78	38.26	38.56	483806	18673428.00
2022/11/08	38.58	38.60	38.21	38.38	317254	12159413.00
2022/11/09	38.49	38.87	38.23	38.55	378789	14626607.00
2022/11/10	38.38	38.50	37.92	38.02	462426	17635676.00
2022/11/11	38.42	38.69	38.15	38.24	520118	19965492.00
2022/11/14	38.22	38.32	37.81	37.82	462754	17620248.00
2022/11/15	37.85	38.47	37.82	38.46	489852	18757564.00
2022/11/16	38.50	38.50	38.03	38.18	420217	16086525.00
2022/11/17	38.18	38.18	37.80	38.07	305347	11590408.00
2022/11/18	38.02	38.15	37.77	37.80	382113	14511320.00
2022/11/21	37.79	37.81	37.50	37.78	433214	16286581.00
2022/11/22	37.79	38.80	37.73	38.11	734863	28196496.00
2022/11/23	38.11	38.11	37.31	37.63	434312	16334909.00
2022/11/24	37.85	37.85	37.58	37.66	207358	7813508.00
2022/11/25	37.66	37.74	37.26	37.28	308372	11564424.00
2022/11/28	37.21	37.21	36.30	36.58	515545	18861238.00
2022/11/29	36.60	37.16	36.60	37.11	314995	11646310.00
2022/11/30	37.11	37.22	37.01	37.07	217491	8065450.00
2022/12/01	37.18	37.53	37.18	37.52	377117	14119540.00
2022/12/02	37.48	37.72	37.48	37.63	233872	8795910.00
2022/12/05	37.77	38.04	37.60	37.98	390719	14776290.00
2022/12/06	37.70	38.08	37.70	37.94	276239	10479910.00
2022/12/07	37.79	38.05	37.79	37.90	272149	10320078.00
2022/12/08	38.00	38.00	37.57	37.62	469826	17695892.00
2022/12/09	37.53	37.56	37.06	37.36	257218	9615600.00
2022/12/12	37.32	37.40	37.09	37.14	252340	9390051.00
2022/12/13	37.15	37.26	37.06	37.13	171205	6360461.00
2022/12/14	37.18	37.18	36.77	36.90	197786	7323083.00
2022/12/15	36.77	36.99	36.76	36.95	119470	4410224.00
2022/12/16	36.95	36.95	36.31	36.50	389396	14210600.00
2022/12/19	36.50	36.50	35.58	35.70	374787	13460005.00
2022/12/20	35.70	36.20	35.55	36.01	236235	8498404.00
2022/12/21	35.93	36.18	35.87	35.98	110941	3994503.00
2022/12/22	35.98	36.50	35.50	35.51	190434	6826476.00
2022/12/23	35.33	35.55	35.18	35.27	180972	6403404.00
2022/12/26	35.33	35.67	35.27	35.50	249783	8848412.00
2022/12/27	35.51	35.52	35.15	35.43	321259	11349741.00
2022/12/28	35.31	35.31	35.03	35.16	201034	7060509.00
2022/12/29	35.15	35.23	35.03	35.17	148201	5206845.00
2022/12/30	35.17	35.59	35.17	35.33	153970	5443472.00
2023/01/03	35.15	35.91	35.15	35.87	211936	7555300.00
2023/01/04	35.94	36.05	35.80	35.96	238452	8568443.00
2023/01/05	36.07	36.08	35.83	35.96	181239	6521261.00
2023/01/06	35.96	36.05	35.83	35.95	150660	5411689.00
2023/01/09	35.95	36.18	35.90	36.06	215516	7755312.00
2023/01/10	35.97	36.06	35.84	35.99	120001	4314000.00
2023/01/11	35.85	36.02	35.71	35.75	175194	6278487.00
2023/01/12	35.75	35.84	35.54	35.57	166935	5954678.00
2023/01/13	35.60	35.73	35.47	35.66	154508	5498846.00
2023/01/16	35.79	36.39	35.69	36.07	231117	8333978.00
2023/01/17	36.07	36.29	36.02	36.11	112407	4064409.00
2023/01/18	36.14	36.56	36.11	36.40	209582	7628242.00
2023/01/19	36.28	36.59	36.26	36.54	168928	6158864.00
2023/01/20	36.68	36.83	36.56	36.83	276452	10151469.00
2023/01/30	36.86	37.36	36.86	37.20	370269	13787596.00
2023/01/31	37.10	37.24	36.85	37.00	250574	9278337.00
2023/02/01	37.08	37.58	37.08	37.52	593092	22172730.00
2023/02/02	37.58	37.61	37.34	37.46	339356	12717401.00
2023/02/03	37.50	37.51	37.18	37.35	308101	11501688.00
2023/02/06	37.30	37.42	37.10	37.18	208728	7772802.00
2023/02/07	37.10	37.53	37.10	37.51	322773	12068446.00
2023/02/08	37.51	37.51	37.20	37.21	227726	8506181.00
2023/02/09	37.13	38.27	37.13	38.13	894630	33862020.00
2023/02/10	38.14	38.57	38.07	38.10	792401	30342156.00
2023/02/13	37.99	38.31	37.99	38.14	398050	15183024.00
2023/02/14	38.05	38.26	38.02	38.16	315791	12042317.00
2023/02/15	38.21	38.34	38.09	38.21	342518	13083930.00
2023/02/16	38.38	38.38	37.37	37.38	556415	21080118.00
2023/02/17	37.32	37.79	37.32	37.50	215758	8101202.00
2023/02/20	37.35	37.75	37.32	37.64	254270	9528424.00
2023/02/21	37.67	37.97	37.56	37.82	180599	6820232.00
2023/02/22	37.80	37.80	37.64	37.72	146267	5516236.00
2023/02/23	37.70	37.83	37.61	37.71	171976	6485347.00
2023/02/24	37.67	37.72	37.36	37.66	218739	8203698.00
2023/02/27	37.54	38.15	36.86	37.96	1423078	53315220.00
2023/02/28	37.66	38.56	37.66	38.17	838811	32071852.00
2023/03/01	38.36	38.36	37.82	38.23	498811	18989280.00
2023/03/02	38.30	38.30	37.90	38.03	311420	11871936.00
2023/03/03	38.03	38.22	37.82	38.10	299344	11374978.00
2023/03/06	38.08	38.08	37.79	37.85	291568	11051796.00
2023/03/07	37.89	38.03	37.20	37.27	389550	14665065.00
2023/03/08	37.17	37.49	37.17	37.37	204849	7633734.00
2023/03/09	37.39	37.88	37.27	37.66	303763	11440227.00
2023/03/10	37.56	37.77	37.24	37.29	238477	8939184.00
2023/03/13	37.29	37.62	37.04	37.29	246366	9175472.00
2023/03/14	37.11	37.32	36.85	37.11	280672	10403134.00
2023/03/15	37.06	37.59	37.00	37.37	272680	10195041.00
2023/03/16	37.32	37.46	36.99	37.00	221588	8241147.00
2023/03/17	37.08	37.35	36.97	37.20	256115	9511250.00
2023/03/20	37.24	37.38	37.06	37.16	174605	6499465.00
2023/03/21	37.15	37.49	37.15	37.43	167440	6256960.00
2023/03/22	37.55	37.74	37.35	37.74	325457	12241940.00
2023/03/23	37.71	38.20	37.60	38.01	515024	19589272.00
2023/03/24	37.98	38.17	37.87	37.98	246221	9354320.00
2023/03/27	38.10	38.17	37.50	37.61	302465	11416566.00
2023/03/28	37.53	37.88	37.50	37.53	182334	6855380.00
