688170 德龙激光 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2022/04/29	26.00	30.00	25.20	29.50	9435002	252630240.00
2022/05/05	27.50	28.13	26.80	27.66	6029335	165610176.00
2022/05/06	27.01	28.77	26.90	27.24	5569076	154420064.00
2022/05/09	26.71	28.33	26.59	28.21	4177224	114542664.00
2022/05/10	28.00	31.21	27.89	29.60	7182185	214020896.00
2022/05/11	30.00	31.93	29.21	30.95	7524089	231805520.00
2022/05/12	30.87	31.38	29.89	30.55	4393365	134331184.00
2022/05/13	30.67	30.98	28.18	28.21	5700714	165756320.00
2022/05/16	28.40	28.73	27.50	27.77	3044495	85484016.00
2022/05/17	27.81	27.89	26.81	27.45	2689939	73117872.00
2022/05/18	27.73	28.11	27.50	27.75	2233049	61980400.00
2022/05/19	27.55	28.30	27.41	28.16	2656864	74469008.00
2022/05/20	28.05	28.33	27.62	27.91	2241868	62630428.00
2022/05/23	27.80	28.68	27.80	28.31	2052014	57968608.00
2022/05/24	28.28	28.28	26.48	26.48	2663349	72697480.00
2022/05/25	26.70	27.05	26.55	27.00	1118718	29953668.00
2022/05/26	27.05	27.05	26.24	26.78	1151476	30640600.00
2022/05/27	26.84	27.08	26.48	26.75	1180182	31626228.00
2022/05/30	26.85	26.95	26.38	26.81	800705	21354426.00
2022/05/31	26.72	29.15	26.54	28.42	3343021	94038352.00
2022/06/01	28.47	30.29	28.26	30.28	4738225	140106432.00
2022/06/02	30.38	32.90	29.60	32.16	6034175	188474720.00
2022/06/06	32.75	34.56	32.00	32.90	6144471	203019552.00
2022/06/07	32.48	34.50	32.34	33.37	3859458	128091328.00
2022/06/08	33.78	33.78	31.30	31.92	2962418	95858840.00
2022/06/09	32.05	32.26	30.20	30.60	2174045	67734960.00
2022/06/10	30.79	31.30	30.42	30.88	1818122	56262856.00
2022/06/13	30.85	30.97	29.75	30.15	2065883	62425464.00
2022/06/14	29.88	29.88	28.70	29.47	2019793	59223504.00
2022/06/15	29.60	30.02	29.40	29.58	1786136	53115308.00
2022/06/16	29.71	30.55	29.38	30.19	1800284	54452484.00
2022/06/17	29.63	30.58	29.30	30.19	1471891	44153128.00
2022/06/20	30.00	31.15	30.00	30.86	1563571	48001688.00
2022/06/21	30.98	37.03	30.98	35.37	6961903	242263984.00
2022/06/22	34.28	35.29	32.80	32.88	4906380	165788416.00
2022/06/23	33.18	34.29	32.38	33.84	3030835	100995688.00
2022/06/24	33.90	39.44	33.89	37.74	5584746	205822624.00
2022/06/27	38.24	39.92	37.36	38.69	3893482	150416544.00
2022/06/28	38.17	39.43	37.03	38.70	2674592	101958864.00
2022/06/29	42.45	46.40	40.37	42.90	5495263	242508960.00
2022/06/30	43.97	51.48	43.07	51.48	7288869	365622720.00
2022/07/01	53.30	58.70	52.00	52.88	7580481	411357664.00
2022/07/04	52.12	52.62	46.77	48.11	6147331	299196352.00
2022/07/05	48.16	50.18	47.35	48.16	3741725	181925008.00
2022/07/06	48.93	52.00	47.62	50.30	4561401	227862400.00
2022/07/07	49.05	53.17	48.78	51.47	3350969	171437616.00
2022/07/08	50.96	57.03	50.91	53.62	3641348	195620960.00
2022/07/11	53.62	58.98	51.82	56.94	4654078	256690272.00
2022/07/12	56.02	56.02	49.82	50.33	4235379	220657760.00
2022/07/13	50.18	50.99	48.20	49.34	2577766	127470256.00
2022/07/14	49.33	51.55	48.83	49.99	2064504	104273712.00
2022/07/15	49.99	51.23	48.23	48.26	2647500	130724584.00
2022/07/18	49.31	49.50	47.32	48.24	1801718	87056728.00
2022/07/19	47.77	50.55	47.69	48.83	1849769	90568928.00
2022/07/20	49.97	50.40	46.06	47.40	2879190	137014752.00
2022/07/21	47.30	49.07	46.50	47.33	1684794	80761400.00
2022/07/22	47.28	48.33	46.03	46.84	1676056	78466240.00
2022/07/25	46.45	48.98	46.30	46.43	1711569	81364072.00
2022/07/26	46.03	47.11	44.12	46.56	1396247	63839236.00
2022/07/27	46.89	51.22	46.89	50.38	2926166	142749552.00
2022/07/28	50.40	53.33	50.02	50.32	2770408	142727920.00
2022/07/29	49.63	60.38	49.63	60.38	7518002	432250912.00
2022/08/01	59.00	62.30	57.52	61.00	4290358	261332848.00
2022/08/02	59.00	62.65	58.08	59.08	3350346	202310032.00
2022/08/03	60.24	65.13	59.87	61.20	3998908	250321440.00
2022/08/04	62.50	63.00	58.50	60.50	2853857	172775072.00
2022/08/05	61.20	61.90	58.81	59.80	1942186	116544472.00
2022/08/08	59.85	61.30	57.70	60.60	1816935	108849392.00
2022/08/09	60.73	60.73	57.58	59.98	1694769	100419344.00
2022/08/10	59.89	62.60	59.01	60.39	2073898	126104384.00
2022/08/11	60.52	63.38	58.50	58.55	2347886	141717024.00
2022/08/12	58.69	59.24	54.90	54.99	2235800	127434576.00
2022/08/15	55.00	58.76	54.62	58.01	1848957	105702096.00
2022/08/16	59.00	66.79	57.59	64.51	3194836	203879952.00
2022/08/17	64.50	70.00	63.88	68.80	3386975	228574144.00
2022/08/18	68.46	72.10	67.50	69.04	2747060	190871216.00
2022/08/19	68.50	74.00	67.04	67.30	2753970	193078304.00
2022/08/22	66.67	67.85	62.68	64.19	2624974	168795904.00
2022/08/23	64.35	66.50	61.51	62.64	2272672	144296640.00
2022/08/24	63.11	63.36	56.10	58.30	3051056	178376512.00
2022/08/25	58.00	60.86	57.33	58.29	2430078	143600320.00
2022/08/26	58.50	60.20	54.72	55.23	2358132	134546816.00
2022/08/29	53.76	59.80	53.30	57.76	2356662	135800704.00
2022/08/30	56.94	58.12	54.11	54.12	1994344	110342072.00
2022/08/31	55.00	55.00	50.50	50.50	2120058	110290704.00
2022/09/01	51.51	51.71	49.50	51.18	1562262	79136888.00
2022/09/02	51.47	58.30	51.47	55.36	2451095	134918352.00
2022/09/05	55.80	56.78	53.54	54.34	2118222	116806968.00
2022/09/06	54.80	57.59	53.40	56.60	2435274	135095568.00
2022/09/07	56.00	65.66	55.89	63.93	4734521	293851392.00
2022/09/08	64.14	65.51	61.62	63.64	3143537	199291408.00
2022/09/09	63.64	63.64	58.50	59.17	3043744	182836304.00
2022/09/13	58.99	60.09	57.24	58.90	1787114	104913544.00
2022/09/14	58.17	60.76	57.30	58.94	1428230	84094912.00
2022/09/15	58.94	59.50	52.73	53.28	2371688	129723472.00
2022/09/16	52.70	56.76	52.70	54.50	2502379	137922144.00
2022/09/19	55.02	56.42	53.59	54.55	1665569	91570664.00
2022/09/20	55.37	57.97	55.00	56.48	1293750	73108568.00
2022/09/21	56.06	56.88	53.90	54.31	1451365	79644568.00
2022/09/22	54.06	56.85	53.51	54.86	1536935	85514840.00
2022/09/23	54.61	56.17	51.06	52.80	1683948	89235632.00
