001309 德明利 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2022/07/01	31.85	38.22	31.85	38.22	386332	14718550.00
2022/07/04	42.04	42.04	42.04	42.04	73951	3108900.00
2022/07/05	46.24	46.24	46.24	46.24	64300	2973232.00
2022/07/06	50.86	50.86	50.86	50.86	116136	5906677.00
2022/07/07	55.95	55.95	55.95	55.95	300293	16801394.00
2022/07/08	61.55	61.55	61.55	61.55	316894	19504826.00
2022/07/11	67.69	67.69	55.40	55.40	12220961	744440000.00
2022/07/12	49.86	50.75	49.86	49.86	3904562	195151280.00
2022/07/13	47.00	48.18	45.13	45.17	6916736	319656448.00
2022/07/14	45.02	46.20	45.02	45.60	4026097	183801712.00
2022/07/15	45.10	50.16	45.06	50.16	5818544	281413504.00
2022/07/18	50.06	53.98	48.60	50.60	6160784	316081088.00
2022/07/19	49.80	51.77	48.85	50.32	3854347	192910112.00
2022/07/20	49.80	53.43	49.72	51.63	4602290	238959360.00
2022/07/21	50.66	56.79	50.55	56.79	4753170	259056688.00
2022/07/22	56.51	60.01	52.76	58.60	7577074	418824800.00
2022/07/25	56.32	59.39	55.55	56.67	5140968	296613920.00
2022/07/26	56.04	58.80	54.45	55.03	4213985	236578512.00
2022/07/27	54.03	57.13	52.93	55.85	5300727	289140864.00
2022/07/28	56.35	57.58	55.18	57.37	5132445	289662624.00
2022/07/29	58.52	63.11	57.95	63.11	5934134	363131968.00
2022/08/01	65.66	69.40	60.61	65.30	7794622	508834752.00
2022/08/02	65.30	71.83	64.80	71.83	6650588	457465632.00
2022/08/03	70.16	79.01	68.80	73.87	6820391	512481632.00
2022/08/04	74.00	77.84	69.30	74.55	5634455	414601984.00
2022/08/05	73.66	82.01	71.96	81.32	6311063	496066400.00
2022/08/08	79.00	79.00	73.19	73.19	5649951	422449344.00
2022/08/09	70.80	75.00	68.40	74.50	4799994	340000608.00
2022/08/10	72.01	76.80	72.00	72.04	3938761	293131616.00
2022/08/11	71.75	74.80	71.75	71.88	3559316	260223632.00
2022/08/12	71.90	72.80	67.80	67.80	4034476	282578336.00
2022/08/15	67.57	73.10	67.51	71.33	3034606	212586032.00
2022/08/16	71.64	74.47	70.00	72.07	2641600	191703504.00
2022/08/17	73.45	73.98	68.70	69.85	2691052	188674672.00
2022/08/18	68.58	71.20	68.58	70.76	2005267	140699808.00
2022/08/19	70.20	73.58	70.02	71.21	3301880	238151744.00
2022/08/22	70.01	70.50	64.33	65.13	3600740	237854256.00
2022/08/23	64.65	67.58	63.83	65.10	2798905	183129936.00
2022/08/24	64.65	65.19	60.69	60.96	2819642	176110896.00
2022/08/25	61.00	62.16	57.80	59.00	2677295	158375280.00
2022/08/26	59.50	59.90	56.30	56.84	1984338	114863664.00
2022/08/29	55.80	57.45	55.35	56.23	1580400	89023856.00
2022/08/30	56.36	56.90	55.00	55.57	1494520	83283832.00
2022/08/31	55.15	55.78	52.40	53.27	1942970	104076832.00
2022/09/01	53.44	54.69	51.40	51.75	1780821	93631328.00
2022/09/02	51.85	56.93	51.32	56.93	2860021	157043536.00
2022/09/05	57.01	58.84	55.13	57.53	4018809	230632208.00
2022/09/06	57.59	59.43	56.80	58.75	3164300	184036528.00
2022/09/07	58.30	61.70	58.10	59.00	3634900	218355280.00
2022/09/08	58.20	58.84	57.36	57.40	2383408	138084640.00
2022/09/09	57.40	58.27	55.46	56.00	1783684	100314936.00
2022/09/13	55.99	57.99	55.60	56.45	1416866	80362280.00
2022/09/14	54.50	57.70	53.01	57.35	2157740	121680336.00
2022/09/15	57.38	57.80	54.21	54.41	2011000	110846144.00
2022/09/16	54.22	55.50	54.22	54.50	1234700	67735152.00
2022/09/19	53.77	55.44	52.30	53.10	1405700	74970896.00
2022/09/20	53.12	55.30	52.32	54.23	1459206	78845408.00
2022/09/21	53.99	54.85	52.38	53.79	1119237	60053080.00
2022/09/22	53.30	55.89	53.28	54.30	1206100	66001472.00
2022/09/23	54.47	54.75	50.46	50.85	2312900	119462824.00
2022/09/26	50.03	51.23	49.61	49.91	976568	49034440.00
2022/09/27	49.85	54.90	49.85	54.90	1652700	88366696.00
2022/09/28	54.88	55.90	52.42	52.94	2162600	116200304.00
2022/09/29	53.69	53.76	52.00	52.75	1183300	62646040.00
2022/09/30	52.43	52.73	50.30	50.49	1130200	57666504.00
2022/10/10	50.55	50.97	46.50	46.96	1480900	71323992.00
2022/10/11	47.33	50.20	46.43	48.48	1447834	69710456.00
2022/10/12	47.89	52.13	47.50	51.34	2076771	104453816.00
2022/10/13	50.09	52.60	49.91	51.50	1610347	83341496.00
2022/10/14	51.94	52.80	51.05	52.22	1147900	59589936.00
2022/10/17	51.87	54.00	51.86	53.29	1127500	59779300.00
2022/10/18	53.10	53.29	51.55	52.19	1040200	54312472.00
2022/10/19	52.31	53.20	51.52	51.52	890200	46459320.00
2022/10/20	51.30	56.67	51.20	56.67	3606247	196838960.00
2022/10/21	56.56	56.56	52.33	54.08	4130721	223620256.00
2022/10/24	54.13	55.36	53.54	54.00	2598851	142045344.00
2022/10/25	53.77	54.75	51.60	52.65	2222674	117070696.00
2022/10/26	52.50	57.92	51.98	56.00	3813699	209187088.00
2022/10/27	55.00	56.02	53.69	53.75	3060703	167295184.00
2022/10/28	53.50	55.55	51.89	52.50	3018959	163639840.00
2022/10/31	51.20	54.96	51.11	54.14	2905001	155322768.00
2022/11/01	53.93	54.98	53.14	54.48	2426313	131001200.00
2022/11/02	54.36	56.40	54.31	54.81	2678100	148415296.00
2022/11/03	54.67	56.68	54.03	56.28	2349000	131141256.00
2022/11/04	55.55	57.10	54.84	56.71	2727498	153104464.00
2022/11/07	55.81	57.61	55.81	57.22	2359000	134113608.00
2022/11/08	57.24	57.29	55.60	56.66	1931954	108994968.00
2022/11/09	56.50	57.00	55.50	56.29	1404720	78917896.00
2022/11/10	55.99	59.89	55.58	57.80	3858408	225096944.00
2022/11/11	58.70	59.50	56.65	56.78	3179700	183698320.00
2022/11/14	55.97	58.20	55.18	57.64	2270480	129381120.00
2022/11/15	57.00	60.50	56.84	59.40	3726735	220493072.00
2022/11/16	59.30	59.80	57.77	57.93	2257699	132616800.00
2022/11/17	57.60	62.80	56.31	61.03	4235498	253892368.00
2022/11/18	60.72	61.61	59.80	60.84	2990088	181433104.00
2022/11/21	60.88	63.15	60.88	61.65	2412360	149108928.00
2022/11/22	61.01	62.99	59.82	60.68	2286159	140262128.00
2022/11/23	60.46	61.98	58.24	59.89	1939560	116292992.00
2022/11/24	60.11	60.35	58.80	58.98	1438200	85447736.00
2022/11/25	58.90	61.50	58.50	59.30	1390383	83088080.00
2022/11/28	57.97	59.96	57.66	58.52	1356200	79881264.00
2022/11/29	59.00	59.10	57.80	58.58	1543100	90393104.00
2022/11/30	58.16	58.75	57.50	58.06	1064557	61759060.00
