301163 宏德股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2022/04/19	36.01	38.88	32.68	33.12	13851640	486525472.00
2022/04/20	31.49	31.88	27.80	27.87	11607804	344536448.00
2022/04/21	27.19	28.49	26.81	27.50	7887345	217363008.00
2022/04/22	27.50	33.22	26.90	33.11	12490859	371919744.00
2022/04/25	32.30	35.80	30.49	35.00	13362992	440624288.00
2022/04/26	33.50	33.87	28.00	32.53	10590396	321423328.00
2022/04/27	30.00	35.85	29.00	34.96	10425028	347067328.00
2022/04/28	37.60	41.95	34.50	41.95	15343454	595263360.00
2022/04/29	41.20	50.34	38.30	50.34	11914468	534298592.00
2022/05/05	52.00	60.41	48.80	60.41	8404998	462590752.00
2022/05/06	61.59	64.30	55.68	57.10	9028632	527866272.00
2022/05/09	58.00	68.52	58.00	68.52	10918649	696947840.00
2022/05/10	65.00	65.00	57.01	59.21	13765696	837679232.00
2022/05/11	56.05	56.94	54.20	54.70	11303663	624659968.00
2022/05/12	53.00	53.60	47.52	48.39	10250365	516886624.00
2022/05/13	48.00	49.48	46.78	47.65	6920920	332580960.00
2022/05/16	47.50	49.08	46.52	48.31	6682505	319675840.00
2022/05/17	47.34	47.58	43.04	43.80	6883011	306841952.00
2022/05/18	43.82	44.77	43.21	44.09	4405707	194237584.00
2022/05/19	43.22	45.34	42.70	44.57	4380396	193857696.00
2022/05/20	44.47	44.84	42.26	43.28	4899376	212860496.00
2022/05/23	43.35	43.80	42.68	43.80	3412352	147782576.00
2022/05/24	47.28	47.28	39.31	39.50	5654600	239739248.00
2022/05/25	39.36	39.40	38.27	39.03	3090987	120268816.00
2022/05/26	39.08	39.92	38.77	38.85	2851453	111880680.00
2022/05/27	39.08	39.30	37.62	37.86	3071403	117959488.00
2022/05/30	38.03	39.30	37.74	38.84	3064363	118179808.00
2022/05/31	38.30	39.91	38.30	39.16	3517233	138389776.00
2022/06/01	38.79	39.50	38.19	38.85	2790897	108276192.00
2022/06/02	38.88	39.53	37.85	38.13	2649249	102314280.00
2022/06/06	38.06	38.75	37.80	38.60	2236545	85800360.00
2022/06/07	38.98	40.76	38.88	40.18	5576200	222547664.00
2022/06/08	39.55	39.80	37.01	37.70	4518738	172752112.00
2022/06/09	37.70	37.70	35.30	35.45	3388606	122577496.00
2022/06/10	35.52	36.49	35.51	36.10	2133142	76972576.00
2022/06/13	36.28	36.46	35.11	36.18	1986776	71184576.00
2022/06/14	35.88	37.23	35.53	37.03	3155102	115611008.00
2022/06/15	37.07	37.07	35.92	35.93	2376833	86681696.00
2022/06/16	36.10	36.36	35.56	35.70	1777395	63811844.00
2022/06/17	35.53	36.90	35.51	36.52	2385985	86778024.00
2022/06/20	36.74	39.29	36.57	38.28	5601029	213892496.00
2022/06/21	37.77	38.28	36.86	37.81	3730770	139863184.00
2022/06/22	37.78	37.99	36.13	36.30	2906903	107192640.00
2022/06/23	36.14	36.70	36.06	36.63	1854657	67594304.00
2022/06/24	36.80	38.84	36.59	38.15	3815179	145261584.00
2022/06/27	38.15	39.32	38.00	38.60	3216661	123980632.00
2022/06/28	39.50	39.52	38.13	38.45	2785687	107539448.00
2022/06/29	38.08	38.62	36.46	36.46	3113661	116341360.00
2022/06/30	36.35	37.92	36.20	37.41	2628250	97716792.00
2022/07/01	37.35	37.90	36.49	36.69	1797000	66747188.00
2022/07/04	36.73	37.13	36.16	37.13	1245400	45732248.00
2022/07/05	37.16	37.44	35.45	35.80	1875829	67758920.00
2022/07/06	35.66	36.28	35.12	35.37	1506522	53487924.00
2022/07/07	35.68	35.68	34.70	34.95	1411489	49504096.00
2022/07/08	35.09	36.32	35.09	35.39	2023139	72250896.00
2022/07/11	35.14	37.57	35.11	36.55	3274481	119701008.00
2022/07/12	36.70	40.49	36.40	38.80	6806438	263534000.00
2022/07/13	38.50	43.25	38.00	42.30	8522489	351207520.00
2022/07/14	41.00	43.49	40.30	41.58	7017823	292423744.00
2022/07/15	42.58	48.90	41.82	44.80	8734475	392238816.00
2022/07/18	45.64	45.80	42.02	43.93	6480161	283033440.00
2022/07/19	42.95	44.25	41.58	41.97	5954689	253417744.00
2022/07/20	41.88	44.58	41.51	43.65	5771139	248921552.00
2022/07/21	42.99	42.99	40.70	41.10	5331703	221284608.00
2022/07/22	40.80	42.62	40.70	41.53	3895799	162490384.00
2022/07/25	41.21	42.98	40.78	40.80	2806657	117506336.00
2022/07/26	40.89	41.34	39.00	40.55	2708013	108014920.00
2022/07/27	40.55	41.31	40.00	41.19	2639601	107981608.00
2022/07/28	41.48	42.80	41.09	41.85	3876400	162941392.00
2022/07/29	41.24	43.92	40.50	43.25	5480274	235095712.00
2022/08/01	42.98	48.38	42.31	47.10	7704931	346986592.00
2022/08/02	45.13	46.85	43.26	43.87	4720934	210611136.00
2022/08/03	44.18	45.49	40.29	41.02	5109295	221909792.00
2022/08/04	41.00	41.88	39.50	40.42	3756374	151587520.00
2022/08/05	40.40	40.42	37.69	39.69	4353400	169669488.00
2022/08/08	39.58	40.97	38.18	40.64	2712772	108053648.00
2022/08/09	40.58	41.87	40.27	40.74	2735736	112567144.00
2022/08/10	40.28	40.99	39.85	40.56	2029719	81892152.00
2022/08/11	40.66	41.45	39.89	40.85	2583562	104729552.00
2022/08/12	40.60	40.64	38.71	38.80	2271284	90100064.00
2022/08/15	38.85	39.56	38.85	39.47	1245025	48947592.00
2022/08/16	39.86	47.36	39.86	43.43	8423693	378793760.00
2022/08/17	44.33	45.58	42.79	43.97	7273853	322276544.00
2022/08/18	43.79	45.27	42.89	44.63	5066798	224429664.00
2022/08/19	44.69	45.11	42.00	42.29	3792710	163165840.00
2022/08/22	42.13	42.91	41.09	41.87	2364581	98790008.00
2022/08/23	41.42	42.20	40.73	40.80	2317017	95793288.00
2022/08/24	40.96	41.27	39.35	39.68	1958290	78265528.00
2022/08/25	39.58	39.58	36.40	37.00	2948278	110604960.00
2022/08/26	36.91	37.55	36.30	36.51	1471066	54496988.00
2022/08/29	35.51	37.44	35.51	37.32	1256517	46461984.00
2022/08/30	37.04	37.42	36.27	36.79	1103767	40571788.00
2022/08/31	36.80	37.17	34.63	34.63	1383717	48907868.00
2022/09/01	35.63	37.00	34.80	35.00	1218367	43324900.00
2022/09/02	35.10	35.39	34.51	35.29	945600	33142856.00
2022/09/05	35.50	36.13	34.91	35.00	1122531	39780548.00
2022/09/06	35.58	35.58	34.17	35.10	1283146	44546620.00
2022/09/07	35.08	36.03	34.80	35.84	1412211	50484532.00
2022/09/08	35.43	35.78	32.88	33.05	3213298	109413408.00
2022/09/09	33.37	33.46	32.40	32.47	1620283	52932088.00
2022/09/13	32.54	33.44	32.34	33.43	1938360	63702584.00
2022/09/14	34.80	35.60	34.02	34.34	3496056	121330424.00
2022/09/15	33.61	33.80	31.30	31.58	2865922	93235560.00
2022/09/16	31.21	31.85	30.23	30.23	1585192	49390784.00
2022/09/19	30.53	30.74	29.91	30.02	1016815	30716018.00
2022/09/20	30.12	31.18	30.12	31.13	1284573	39600036.00
2022/09/21	31.02	31.09	30.37	30.89	683046	21022904.00
2022/09/22	30.69	31.31	30.59	30.67	798659	24722900.00
2022/09/23	30.67	30.84	29.48	29.97	1141191	34296312.00
2022/09/26	30.08	30.25	29.28	29.42	776350	23091922.00
2022/09/27	29.46	30.51	29.46	30.17	1308238	39350684.00
2022/09/28	30.64	30.64	28.78	28.88	1266500	37338332.00
2022/09/29	29.11	29.38	28.39	28.45	1138137	32704188.00
2022/09/30	28.56	28.89	27.60	27.68	961183	26881716.00
2022/10/10	27.69	28.34	27.14	27.37	786300	21848048.00
2022/10/11	27.39	27.89	27.28	27.40	675000	18535416.00
2022/10/12	27.63	28.97	27.02	28.95	1377398	38578036.00
2022/10/13	28.48	29.42	28.32	28.97	1088759	31667574.00
2022/10/14	29.21	30.47	28.92	30.07	1657615	49073052.00
2022/10/17	29.95	31.95	29.38	31.95	2297013	71258944.00
2022/10/18	31.95	31.95	30.80	31.08	2091398	65489208.00
2022/10/19	30.96	31.79	30.58	31.10	2034952	63641068.00
2022/10/20	31.29	31.29	30.43	30.80	1290176	39760100.00
2022/10/21	30.88	33.00	30.80	31.84	3025020	96975512.00
2022/10/24	31.81	32.94	31.55	31.70	2494332	80382352.00
2022/10/25	31.69	33.00	30.90	32.89	2989097	96694848.00
2022/10/26	32.65	32.78	31.82	32.45	2621761	84400000.00
2022/10/27	32.12	32.94	31.15	31.18	2442406	77729288.00
2022/10/28	30.21	30.98	29.28	29.41	1857738	55853432.00
2022/10/31	29.59	30.89	29.59	30.52	1259043	38397236.00
2022/11/01	30.52	31.69	30.29	31.50	1189735	37247992.00
2022/11/02	31.49	31.79	31.26	31.52	1192652	37578652.00
2022/11/03	31.27	33.89	31.27	33.39	3182035	104613104.00
2022/11/04	33.72	33.73	32.50	33.06	2334661	76675016.00
2022/11/07	33.09	33.18	32.22	32.46	1672650	54315652.00
2022/11/08	32.80	33.19	32.10	32.79	1812609	59265980.00
2022/11/09	32.74	32.77	32.04	32.07	1393921	45059004.00
2022/11/10	32.08	32.28	31.21	31.49	1156672	36589668.00
2022/11/11	32.00	32.38	31.20	31.26	1231753	39180924.00
2022/11/14	31.41	31.62	30.75	30.91	882920	27443746.00
2022/11/15	30.85	31.94	30.85	31.92	1215128	38386832.00
2022/11/16	31.91	31.94	31.02	31.08	1184054	37168044.00
2022/11/17	31.20	31.20	30.15	30.62	944072	28798212.00
2022/11/18	30.99	31.07	30.12	30.16	861463	26359820.00
2022/11/21	29.90	30.51	29.74	30.35	789346	23870730.00
2022/11/22	30.45	30.45	29.22	29.51	1212065	36110124.00
2022/11/23	29.59	29.59	28.61	29.43	923183	26837316.00
2022/11/24	29.52	30.09	29.36	29.59	848515	25164062.00
2022/11/25	29.49	29.70	28.66	28.67	691414	20059632.00
2022/11/28	28.38	28.88	28.10	28.88	611741	17508416.00
2022/11/29	28.90	29.27	28.81	29.12	739756	21476930.00
2022/11/30	29.15	29.42	28.93	29.10	629927	18376248.00
2022/12/01	29.25	29.65	29.22	29.32	835471	24579110.00
2022/12/02	29.42	29.72	29.27	29.67	918295	27104092.00
2022/12/05	29.94	29.94	28.95	29.10	1254691	36691628.00
2022/12/06	29.04	29.60	28.83	29.10	799508	23334954.00
2022/12/07	29.10	29.38	28.78	28.86	613883	17811032.00
2022/12/08	28.86	29.98	28.40	29.37	1859186	54602524.00
2022/12/09	29.45	29.55	28.91	29.03	842918	24594056.00
2022/12/12	29.00	29.14	28.56	28.70	545983	15718420.00
2022/12/13	28.77	28.83	27.87	27.99	890454	25157052.00
2022/12/14	28.12	28.20	27.85	27.95	490019	13725773.00
2022/12/15	27.95	28.49	27.94	28.36	491936	13885213.00
2022/12/16	28.23	28.48	27.54	28.02	633443	17651452.00
2022/12/19	28.06	28.27	27.25	27.38	614514	16981890.00
2022/12/20	27.35	28.23	27.10	27.68	700484	19402078.00
2022/12/21	27.60	28.65	27.25	28.59	1787311	50214044.00
2022/12/22	28.55	28.68	26.97	27.22	1483582	40954160.00
2022/12/23	26.96	27.25	25.88	26.12	1023319	26976358.00
2022/12/26	26.17	28.05	26.17	27.80	1630650	45043048.00
2022/12/27	27.65	28.43	27.60	27.83	1110624	31028042.00
2022/12/28	27.78	27.98	27.13	27.28	730889	20075874.00
2022/12/29	27.28	27.37	26.54	26.54	556600	14977696.00
2022/12/30	26.60	26.90	26.24	26.29	610781	16174506.00
2023/01/03	26.29	27.74	26.29	27.62	1022445	27793888.00
2023/01/04	27.78	28.45	27.55	27.83	1037810	29068338.00
2023/01/05	28.27	28.28	27.42	28.15	852854	23967510.00
2023/01/06	28.15	29.15	28.01	28.53	1305644	37439604.00
2023/01/09	28.68	29.75	28.31	29.30	1523749	44621832.00
2023/01/10	29.40	29.60	28.68	28.70	854252	24826718.00
2023/01/11	28.70	29.27	28.11	28.15	687899	19542928.00
2023/01/12	28.66	28.85	28.15	28.29	584072	16635494.00
2023/01/13	28.68	28.98	28.16	28.33	636702	18160636.00
2023/01/16	28.63	28.84	28.19	28.39	664798	18978148.00
2023/01/17	28.68	28.85	28.09	28.29	687200	19548018.00
2023/01/18	28.55	28.55	28.14	28.51	472177	13401098.00
2023/01/19	28.51	28.68	28.18	28.49	496207	14079165.00
2023/01/20	28.90	29.55	28.58	28.66	957473	27663650.00
2023/01/30	29.20	30.30	29.02	30.03	2247975	66678384.00
2023/01/31	29.75	30.80	29.75	30.39	1794347	54522292.00
2023/02/01	30.50	30.60	29.98	30.54	1447783	43938980.00
2023/02/02	30.54	31.90	30.20	31.34	2644879	82750080.00
2023/02/03	31.22	31.26	29.98	30.34	1883783	57294648.00
2023/02/06	30.60	30.67	29.91	30.08	1058280	31927196.00
2023/02/07	30.38	30.58	30.03	30.45	899763	27270892.00
2023/02/08	30.50	30.59	29.90	29.95	700877	21182740.00
2023/02/09	29.89	30.30	29.76	30.21	778654	23477558.00
2023/02/10	30.21	30.62	30.00	30.30	1057027	31999842.00
数据来源:通达信
